RLBWXYH,class
[254  88  68  36  17  11   1   0],text
[130 189  66  24  24   4   1   0],text
[103  75  26  16  31   3   3   2],text
[185 120  57  55  11   8   3   0],text
[170 154 132  48  15   1   0   0],non-text
[141 102  42  28  13  10   2   1],text
[138 101  62  39  17   8   2   0],text
[164 125  59  31  18   6   4   0],text
[231 115  59  29  19  11   1   0],text
[33 11  0  1  4  5  9  2],non-text
[330  85  39  34  34   3   0   0],text
[ 24 179  76  28  32   0   2   0],text
[120  69  36  22  36   6   2   0],text
[133  67  46  30  30   4   0   2],text
[  5  42 122  80  15   0   0   1],text
[55  1  7 13 10 15  9  1],non-text
[165  96  65  24  21   5   2   1],text
[ 92 165  59  41  18   2   1   1],text
[186 118  50  35  21   9   2   0],text
[154  77  63  36  14   8   5   0],text
[110  54  39   9  24   8   5   0],text
[189  71  65  46  24   4   2   0],text
[ 91 191 135  30  19   3   0   0],text
[77 15 21  3 17  4  4  2],non-text
[227 136  86  43  13   2   4   0],text
[159  81  67  27  31   4   1   1],text
[230 228  71  32   8   7   3   0],text
[107  75  49  20  31   4   2   1],text
[331 111  83  36   8  11   1   0],text
[28 23 28 26 75  1  0  0],non-text
[293 106  69  42  11  11   1   0],text
[186 123  65  41  13   7   1   1],text
[148 113  48  42  18  10   2   0],text
[80 17 14 18 21  8  6  1],non-text
[192 123  81  24  20   6   3   0],text
[140  87  41  41  22   6   1   1],non-text
[239 208  46  29  19   6   1   0],text
[173  89  52  28  22   6   3   0],text
[179 131  41  41  22   7   2   0],text
[ 30 141 142  47  17   2   0   0],text
[60 13 17  5 27  6  1  2],non-text
[123  82  35  20  22  11   1   1],text
[197  86  42  40  22   7   3   0],text
[164  38  30  19  12  21   0   1],non-text
[165 148  57  42  19   7   0   1],text
[376 158  88  27   7  11   0   0],text
[162 102  96  39  24   1   0   1],text
[133  82  42  25  29   9   0   1],text
[129  59  54  51  22   4   4   0],text
[ 8 93 87 93  6  1  0  1],text
[10 55 94 77 22  0  0  1],text
[141  48  45  17  25   6   3   2],text
[95 76 46 24 30  3  5  0],text
[136  57  28  16  18  10   6   0],text
[117  86  52  33  21   3   3   2],text
[104  21  23  43  27   5   2   2],non-text
[200 104  45  35  20   7   1   1],non-text
[143  67  43  29  24   8   5   0],text
[362 241  45  22  24   3   0   0],text
[193 159  71  24  24   8   0   0],text
[39  3  6  2 13  9  8  3],non-text
[179  92  78  25  20   5   1   2],text
[178  84  55  33  26   7   3   0],text
[252 180  69  36   9   7   2   0],text
[175  91  46  15  32   5   2   1],text
[252 107  79  34  31   1   0   0],text
[248 148  76  31  17   4   2   0],text
[54 30 65 12 44  1  0  1],non-text
[37  6  5  7 16  2  6  4],non-text
[240  77  49  37  19  12   1   0],text
[221 236  76  19  13   6   2   0],text
[50  6  3  2 33  1  3  1],non-text
[227  82  45  31  21   7   0   1],text
[125  61  31  12  23  10   0   1],text
[168  77  60  24  19  10   2   1],text
[41 11  6  9 23  2  5  2],non-text
[136 133  78  30  36   4   0   0],text
[18 11 37  3 60  1  1  0],non-text
[266 121  70  40   7  12   1   0],text
[17  6  1  1  9  4  1  6],non-text
[196 108  43  36  18  11   3   0],text
[278  85  62  39  12  14   1   0],text
[89 12  9 19 28  9  7  0],non-text
[178 120  33  11  32   6   2   1],text
[324 126  84  39   9  11   0   0],text
[248 102  76  30  17  12   0   0],text
[212 143  68  44  14  10   0   0],text
[168  81  59  21  27   3   3   1],text
[127 111  58  26  28   7   2   0],text
[ 21 167 132  37  18   1   1   0],text
[ 35 102 115  61  13   1   2   0],text
[192 150  70  31  19   8   1   0],non-text
[171 108  75  32  22   0   5   0],text
[121  72  41  30  29   9   1   0],text
[81 37 15 23 18  7  7  1],non-text
[120  89  51  32  18   5   5   1],text
[216  74  50  34  17  15   1   0],text
[ 19  73 127  47  19   0   1   1],text
[186 145  59  19  32   5   0   1],text
[217 105  63  30  13  16   1   0],text
[296 102  63  39  20  11   0   0],text
[227 108  63  34  22  11   0   0],text
[150 145  63  33  29   3   0   0],text
[163  94  68  31  22   6   3   0],text
[146  79  62  30  15   8   2   1],text
[233 171  71  43  13   7   0   0],text
[117  46  30  18  19  14   2   1],text
[122 113  57  16  32   3   4   0],text
[86 63 32 20 23  4  5  2],text
[106  38  40  13  25   9   5   1],text
[294 253  59  29  19   3   0   0],text
[104  76  59  31  24   5   4   0],text
[11 64 83 69 29  0  1  0],text
[225 122  70  39  16   6   3   0],text
[23 22  3 11 21  1  3  3],non-text
[36  3  2  2  4 14  8  2],non-text
[166  73  55  31  20   6   3   1],text
[195  88  68  39  12  15   0   0],text
[208  97  55  32  25   3   3   0],text
[161 137  49  44  20   6   2   0],text
